modulo,laboratorio,titulo,duracao,pasta
0,01,Preparação do ambiente e repositório reproduzível,1h30,cursos/rag-de-ponta/modulos/modulo-00-preparacao-baseline/laboratorios/lab-00-01-preparacao-do-ambiente-e-repositorio-reproduzivel
0,02,Construção do baseline RAG mensurável,2h30,cursos/rag-de-ponta/modulos/modulo-00-preparacao-baseline/laboratorios/lab-00-02-construcao-do-baseline-rag-mensuravel
1,01,Matriz de decisão: RAG ou outra estratégia?,2h,cursos/rag-de-ponta/modulos/modulo-01-fundamentos-arquitetura/laboratorios/lab-01-01-matriz-de-decisao-rag-ou-outra-estrategia
1,02,Architecture Canvas do projeto final,3h,cursos/rag-de-ponta/modulos/modulo-01-fundamentos-arquitetura/laboratorios/lab-01-02-architecture-canvas-do-projeto-final
2,01,Implementação manual das métricas de recuperação,2h30,cursos/rag-de-ponta/modulos/modulo-02-recuperacao-metricas/laboratorios/lab-02-01-implementacao-manual-das-metricas-de-recuperacao
2,02,Construção do Golden Dataset de RAG,3h,cursos/rag-de-ponta/modulos/modulo-02-recuperacao-metricas/laboratorios/lab-02-02-construcao-do-golden-dataset-de-rag
3,01,"Pipeline de extração, limpeza e metadados",3h30,cursos/rag-de-ponta/modulos/modulo-03-engenharia-documental/laboratorios/lab-03-01-pipeline-de-extracao-limpeza-e-metadados
3,02,"Ingestão incremental, deduplicação e versionamento",3h30,cursos/rag-de-ponta/modulos/modulo-03-engenharia-documental/laboratorios/lab-03-02-ingestao-incremental-deduplicacao-e-versionamento
4,01,Benchmark de estratégias de chunking,3h30,cursos/rag-de-ponta/modulos/modulo-04-chunking-contextualizacao/laboratorios/lab-04-01-benchmark-de-estrategias-de-chunking
4,02,Parent-child e contextual retrieval,3h30,cursos/rag-de-ponta/modulos/modulo-04-chunking-contextualizacao/laboratorios/lab-04-02-parent-child-e-contextual-retrieval
5,01,Similaridade vetorial e validação de embeddings,2h30,cursos/rag-de-ponta/modulos/modulo-05-embeddings-indices/laboratorios/lab-05-01-similaridade-vetorial-e-validacao-de-embeddings
